Food,Serving Size (1 Portion),Calories,Protein (g),Fat (g),Carbs (g),Sodium (mg),Potassium (mg),Source,food_idx
Shrimp and grits,15.06 oz,390.0,36.0,8.0,40.0,890,0,"https://www.eatthismuch.com/food/nutrition/shrimp-and-grits,3332747/",shrimp_and_grits
Spaghetti bolognese,11.99 oz ,540.0,26.0,23.0,55.0,900,460,"https://www.eatthismuch.com/food/nutrition/spaghetti-bolognese,1807210/",spaghetti_bolognese
Spaghetti carbonara,11.28 oz,310.0,12.8,9.6,35.2,0,0,"https://www.eatthismuch.com/food/nutrition/spaghetti-carbonara,198770/",spaghetti_carbonara
Spring rolls,3.50 oz,120.0,3.0,5.0,13.0,300,0,"https://www.eatthismuch.com/food/nutrition/spring-rolls,169635/",spring_rolls
Steak,3.50 oz,451.0,37.0,32.0,2.0,0,0,"https://www.eatthismuch.com/food/nutrition/steak,202269/",steak
Strawberry shortcake,11.30 oz,500.0,4.0,14.0,95.0,790,0,"https://www.eatthismuch.com/food/nutrition/strawberry-shortcake,593863/",strawberry_shortcake
Sushi,1 serving (9 pc),410.0,8.0,15.0,57.0,680,0,"https://www.eatthismuch.com/food/nutrition/sushi,2214932/",sushi
Tacos,3.50 oz,278.0,13.0,15.0,20.0,520,0,"https://www.eatthismuch.com/food/nutrition/taco,195706/ ",tacos
Takoyaki,1.00 oz,140.0,1.0,7.0,18.0,160,30,"https://www.eatthismuch.com/food/nutrition/takoyaki-ball,2725084/ ",takoyaki
Tiramisu,0.71 oz,820.0,11.0,50.0,74.0,150,0,"https://www.eatthismuch.com/food/nutrition/tiramisu,197108/ ",tiramisu
Tuna tartare,12.45 oz,600.0,36.0,31.0,50.0,880,0,"https://www.eatthismuch.com/food/nutrition/tuna-tartare,2225589/ ",tuna_tartare
Waffles,1.40 oz,120.0,2.0,6.0,15.0,180,0,"https://www.eatthismuch.com/food/nutrition/waffles,575453/ ",waffles
